#************************************************************************
# 
#    These are data from the COMPASS Collaboration.
#    
#    
#    
# 
#    
# 
#    C. Adolph et al, arXiv:1305.7317 [hep-ex]
# 
#************************************************************************
# 
# h+ multiplicities from COMPASS
# 
# Target: Deuteron (Li6)
# 
#
#  i          mult              stat (+/-)              syst (+/-)              Q2      x         z           Php
  52  2.155893E-01  2.042425E-02  1.077947E-02  1.110000E+00  5.200000E-03  2.250000E-01  1.134681E+00
  53  1.205688E+00  1.766494E-02  6.028439E-02  1.110000E+00  5.200000E-03  2.750000E-01  1.118034E-01
  54  1.797839E+00  2.827278E-02  8.989194E-02  1.110000E+00  5.200000E-03  2.750000E-01  1.936492E-01
  55  2.228500E+00  3.600000E-02  1.114250E-01  1.110000E+00  5.200000E-03  2.750000E-01  2.500000E-01
  56  2.433284E+00  4.082095E-02  1.216642E-01  1.110000E+00  5.200000E-03  2.750000E-01  2.958040E-01
  57  2.458557E+00  4.293251E-02  1.229278E-01  1.110000E+00  5.200000E-03  2.750000E-01  3.354102E-01
  58  2.421389E+00  4.523881E-02  1.210694E-01  1.110000E+00  5.200000E-03  2.750000E-01  3.708099E-01
  59  2.334830E+00  4.595487E-02  1.167415E-01  1.110000E+00  5.200000E-03  2.750000E-01  4.031129E-01
  60  2.155537E+00  4.503332E-02  1.077769E-01  1.110000E+00  5.200000E-03  2.750000E-01  4.330127E-01
  61  2.085461E+00  4.609772E-02  1.042730E-01  1.110000E+00  5.200000E-03  2.750000E-01  4.609772E-01
  62  1.862612E+00  4.386057E-02  9.313062E-02  1.110000E+00  5.200000E-03  2.750000E-01  4.873397E-01
  63  1.836254E+00  4.508658E-02  9.181268E-02  1.110000E+00  5.200000E-03  2.750000E-01  5.123475E-01
  64  1.624657E+00  4.289522E-02  8.123283E-02  1.110000E+00  5.200000E-03  2.750000E-01  5.361903E-01
  65  1.529470E+00  4.248529E-02  7.647352E-02  1.110000E+00  5.200000E-03  2.750000E-01  5.590170E-01
  66  1.465150E+00  4.182822E-02  7.325748E-02  1.110000E+00  5.200000E-03  2.750000E-01  5.809475E-01
  67  1.352271E+00  4.094142E-02  6.761355E-02  1.110000E+00  5.200000E-03  2.750000E-01  6.020797E-01
  68  1.379449E+00  4.232966E-02  6.897244E-02  1.110000E+00  5.200000E-03  2.750000E-01  6.224950E-01
  69  1.179192E+00  3.982022E-02  5.895962E-02  1.110000E+00  5.200000E-03  2.750000E-01  6.422616E-01
  70  1.205140E+00  3.968627E-02  6.025699E-02  1.110000E+00  5.200000E-03  2.750000E-01  6.614378E-01
  71  1.107160E+00  3.944426E-02  5.535798E-02  1.110000E+00  5.200000E-03  2.750000E-01  6.800735E-01
  72  9.733075E-01  3.630702E-02  4.866538E-02  1.110000E+00  5.200000E-03  2.750000E-01  6.982120E-01
  73  9.163405E-01  3.579455E-02  4.581703E-02  1.110000E+00  5.200000E-03  2.750000E-01  7.158911E-01
  74  9.046996E-01  3.665720E-02  4.523498E-02  1.110000E+00  5.200000E-03  2.750000E-01  7.331439E-01
  75  8.430000E-01  3.450000E-02  4.215000E-02  1.110000E+00  5.200000E-03  2.750000E-01  7.500000E-01
  76  7.864141E-01  3.372536E-02  3.932071E-02  1.110000E+00  5.200000E-03  2.750000E-01  7.664855E-01
  77  7.607103E-01  3.443545E-02  3.803552E-02  1.110000E+00  5.200000E-03  2.750000E-01  7.826238E-01
  78  6.547175E-01  3.193744E-02  3.273587E-02  1.110000E+00  5.200000E-03  2.750000E-01  7.984360E-01
  79  6.918499E-01  3.255764E-02  3.459249E-02  1.110000E+00  5.200000E-03  2.750000E-01  8.139410E-01
  80  5.787510E-01  2.984962E-02  2.893755E-02  1.110000E+00  5.200000E-03  2.750000E-01  8.291562E-01
  81  6.263201E-01  3.207569E-02  3.131600E-02  1.110000E+00  5.200000E-03  2.750000E-01  8.440972E-01
  82  4.946562E-01  2.748090E-02  2.473281E-02  1.110000E+00  5.200000E-03  2.750000E-01  8.587782E-01
  83  5.518703E-01  2.968922E-02  2.759351E-02  1.110000E+00  5.200000E-03  2.750000E-01  8.732125E-01
  84  4.437060E-01  2.662236E-02  2.218530E-02  1.110000E+00  5.200000E-03  2.750000E-01  8.874120E-01
  85  4.723272E-01  2.884441E-02  2.361636E-02  1.110000E+00  5.200000E-03  2.750000E-01  9.013878E-01
  86  4.191388E-01  2.562421E-02  2.095694E-02  1.110000E+00  5.200000E-03  2.750000E-01  9.151503E-01
  87  4.104893E-01  2.600385E-02  2.052446E-02  1.110000E+00  5.200000E-03  2.750000E-01  9.287088E-01
  88  4.145118E-01  2.637802E-02  2.072559E-02  1.110000E+00  5.200000E-03  2.750000E-01  9.420722E-01
  89  3.190531E-01  2.292597E-02  1.595265E-02  1.110000E+00  5.200000E-03  2.750000E-01  9.552487E-01
  90  3.640604E-01  2.517439E-02  1.820302E-02  1.110000E+00  5.200000E-03  2.750000E-01  9.682458E-01
  91  3.433748E-01  2.550784E-02  1.716874E-02  1.110000E+00  5.200000E-03  2.750000E-01  9.810708E-01
  92  3.736426E-01  2.583699E-02  1.868213E-02  1.110000E+00  5.200000E-03  2.750000E-01  9.937303E-01
  93  2.978443E-01  2.414953E-02  1.489221E-02  1.110000E+00  5.200000E-03  2.750000E-01  1.006231E+00
  94  3.422420E-01  2.444586E-02  1.711210E-02  1.110000E+00  5.200000E-03  2.750000E-01  1.018577E+00
  95  2.844943E-01  2.267708E-02  1.422471E-02  1.110000E+00  5.200000E-03  2.750000E-01  1.030776E+00
  96  2.377659E-01  2.085665E-02  1.188829E-02  1.110000E+00  5.200000E-03  2.750000E-01  1.042833E+00
  97  2.636878E-01  2.320453E-02  1.318439E-02  1.110000E+00  5.200000E-03  2.750000E-01  1.054751E+00
  98  2.303719E-01  2.133073E-02  1.151859E-02  1.110000E+00  5.200000E-03  2.750000E-01  1.066536E+00
  99  2.328897E-01  2.156386E-02  1.164448E-02  1.110000E+00  5.200000E-03  2.750000E-01  1.078193E+00
 100  2.135860E-01  1.961505E-02  1.067930E-02  1.110000E+00  5.200000E-03  2.750000E-01  1.089725E+00
 101  2.312385E-01  2.202272E-02  1.156193E-02  1.110000E+00  5.200000E-03  2.750000E-01  1.101136E+00
 102  1.846633E-01  2.002374E-02  9.233167E-03  1.110000E+00  5.200000E-03  2.750000E-01  1.112430E+00
 103  1.606763E-01  1.797776E-02  8.033813E-03  1.110000E+00  5.200000E-03  2.750000E-01  1.123610E+00
 104  1.928957E-01  2.042425E-02  9.644785E-03  1.110000E+00  5.200000E-03  2.750000E-01  1.134681E+00
 105  8.331589E-01  1.475805E-02  4.165795E-02  1.110000E+00  5.200000E-03  3.250000E-01  1.118034E-01
 106  1.219215E+00  2.323790E-02  6.096076E-02  1.110000E+00  5.200000E-03  3.250000E-01  1.936492E-01
 107  1.462500E+00  2.900000E-02  7.312500E-02  1.110000E+00  5.200000E-03  3.250000E-01  2.500000E-01
 108  1.622781E+00  3.313005E-02  8.113903E-02  1.110000E+00  5.200000E-03  3.250000E-01  2.958040E-01
 109  1.599907E+00  3.555348E-02  7.999533E-02  1.110000E+00  5.200000E-03  3.250000E-01  3.354102E-01
 110  1.637497E+00  3.708099E-02  8.187483E-02  1.110000E+00  5.200000E-03  3.250000E-01  3.708099E-01
 111  1.662438E+00  3.869884E-02  8.312188E-02  1.110000E+00  5.200000E-03  3.250000E-01  4.031129E-01
 112  1.595219E+00  3.983717E-02  7.976094E-02  1.110000E+00  5.200000E-03  3.250000E-01  4.330127E-01
 113  1.429029E+00  3.872209E-02  7.145147E-02  1.110000E+00  5.200000E-03  3.250000E-01  4.609772E-01
 114  1.452272E+00  3.996186E-02  7.261362E-02  1.110000E+00  5.200000E-03  3.250000E-01  4.873397E-01
 115  1.259350E+00  3.791372E-02  6.296751E-02  1.110000E+00  5.200000E-03  3.250000E-01  5.123475E-01
 116  1.271843E+00  3.860570E-02  6.359217E-02  1.110000E+00  5.200000E-03  3.250000E-01  5.361903E-01
 117  1.230955E+00  3.801316E-02  6.154777E-02  1.110000E+00  5.200000E-03  3.250000E-01  5.590170E-01
 118  1.120067E+00  3.718064E-02  5.600334E-02  1.110000E+00  5.200000E-03  3.250000E-01  5.809475E-01
 119  1.005473E+00  3.612478E-02  5.027366E-02  1.110000E+00  5.200000E-03  3.250000E-01  6.020797E-01
 120  9.586423E-01  3.610471E-02  4.793211E-02  1.110000E+00  5.200000E-03  3.250000E-01  6.224950E-01
 121  9.621079E-01  3.596665E-02  4.810540E-02  1.110000E+00  5.200000E-03  3.250000E-01  6.422616E-01
 122  9.061698E-01  3.571764E-02  4.530849E-02  1.110000E+00  5.200000E-03  3.250000E-01  6.614378E-01
 123  8.256093E-01  3.400368E-02  4.128046E-02  1.110000E+00  5.200000E-03  3.250000E-01  6.800735E-01
 124  7.596547E-01  3.351418E-02  3.798273E-02  1.110000E+00  5.200000E-03  3.250000E-01  6.982120E-01
 125  6.929825E-01  3.149921E-02  3.464913E-02  1.110000E+00  5.200000E-03  3.250000E-01  7.158911E-01
 126  7.023519E-01  3.225833E-02  3.511759E-02  1.110000E+00  5.200000E-03  3.250000E-01  7.331439E-01
 127  6.285000E-01  3.150000E-02  3.142500E-02  1.110000E+00  5.200000E-03  3.250000E-01  7.500000E-01
 128  6.576445E-01  3.219239E-02  3.288223E-02  1.110000E+00  5.200000E-03  3.250000E-01  7.664855E-01
 129  6.401863E-01  3.130495E-02  3.200931E-02  1.110000E+00  5.200000E-03  3.250000E-01  7.826238E-01
 130  5.333552E-01  2.874369E-02  2.666776E-02  1.110000E+00  5.200000E-03  3.250000E-01  7.984360E-01
 131  4.688300E-01  2.767400E-02  2.344150E-02  1.110000E+00  5.200000E-03  3.250000E-01  8.139410E-01
 132  5.306600E-01  2.984962E-02  2.653300E-02  1.110000E+00  5.200000E-03  3.250000E-01  8.291562E-01
 133  4.456833E-01  2.701111E-02  2.228416E-02  1.110000E+00  5.200000E-03  3.250000E-01  8.440972E-01
 134  4.706105E-01  2.748090E-02  2.353052E-02  1.110000E+00  5.200000E-03  3.250000E-01  8.587782E-01
 135  3.842135E-01  2.619637E-02  1.921067E-02  1.110000E+00  5.200000E-03  3.250000E-01  8.732125E-01
 136  4.312822E-01  2.662236E-02  2.156411E-02  1.110000E+00  5.200000E-03  3.250000E-01  8.874120E-01
 137  4.002162E-01  2.704163E-02  2.001081E-02  1.110000E+00  5.200000E-03  3.250000E-01  9.013878E-01
 138  3.550783E-01  2.562421E-02  1.775392E-02  1.110000E+00  5.200000E-03  3.250000E-01  9.151503E-01
 139  3.213332E-01  2.414643E-02  1.606666E-02  1.110000E+00  5.200000E-03  3.250000E-01  9.287088E-01
 140  3.334936E-01  2.449388E-02  1.667468E-02  1.110000E+00  5.200000E-03  3.250000E-01  9.420722E-01
 141  2.903956E-01  2.292597E-02  1.451978E-02  1.110000E+00  5.200000E-03  3.250000E-01  9.552487E-01
 142  2.711088E-01  2.323790E-02  1.355544E-02  1.110000E+00  5.200000E-03  3.250000E-01  9.682458E-01
 143  2.825484E-01  2.354570E-02  1.412742E-02  1.110000E+00  5.200000E-03  3.250000E-01  9.810708E-01
 144  2.663197E-01  2.186207E-02  1.331599E-02  1.110000E+00  5.200000E-03  3.250000E-01  9.937303E-01
 145  2.736947E-01  2.213707E-02  1.368474E-02  1.110000E+00  5.200000E-03  3.250000E-01  1.006231E+00
 146  2.383471E-01  2.240870E-02  1.191736E-02  1.110000E+00  5.200000E-03  3.250000E-01  1.018577E+00
 147  2.329555E-01  2.061553E-02  1.164777E-02  1.110000E+00  5.200000E-03  3.250000E-01  1.030776E+00
 148  1.939669E-01  1.877099E-02  9.698344E-03  1.110000E+00  5.200000E-03  3.250000E-01  1.042833E+00
 149  1.898552E-01  1.898552E-02  9.492760E-03  1.110000E+00  5.200000E-03  3.250000E-01  1.054751E+00
 150  1.663797E-01  1.919766E-02  8.318984E-03  1.110000E+00  5.200000E-03  3.250000E-01  1.066536E+00
 151  1.854492E-01  1.940747E-02  9.272459E-03  1.110000E+00  5.200000E-03  3.250000E-01  1.078193E+00
 152  2.026888E-01  1.961505E-02  1.013444E-02  1.110000E+00  5.200000E-03  3.250000E-01  1.089725E+00
 153  1.629681E-01  1.805863E-02  8.148405E-03  1.110000E+00  5.200000E-03  3.250000E-01  1.101136E+00
 154  1.684219E-01  1.868882E-02  8.421093E-03  1.110000E+00  5.200000E-03  3.250000E-01  1.112430E+00
 155  1.503391E-01  1.775304E-02  7.516953E-03  1.110000E+00  5.200000E-03  3.250000E-01  1.123610E+00
 156  1.472815E-01  1.770102E-02  7.364077E-03  1.110000E+00  5.200000E-03  3.250000E-01  1.134681E+00
 157  6.151423E-01  1.274559E-02  3.075712E-02  1.110000E+00  5.200000E-03  3.750000E-01  1.118034E-01
 158  8.578658E-01  1.975222E-02  4.289329E-02  1.110000E+00  5.200000E-03  3.750000E-01  1.936492E-01
 159  9.760000E-01  2.400000E-02  4.880000E-02  1.110000E+00  5.200000E-03  3.750000E-01  2.500000E-01
 160  1.146536E+00  2.780557E-02  5.732681E-02  1.110000E+00  5.200000E-03  3.750000E-01  2.958040E-01
 161  1.169240E+00  3.018692E-02  5.846200E-02  1.110000E+00  5.200000E-03  3.750000E-01  3.354102E-01
 162  1.234797E+00  3.263127E-02  6.173985E-02  1.110000E+00  5.200000E-03  3.750000E-01  3.708099E-01
 163  1.156128E+00  3.305526E-02  5.780639E-02  1.110000E+00  5.200000E-03  3.750000E-01  4.031129E-01
