#************************************************************************
# 
#    These are data from the COMPASS Collaboration.
#    
#    
#    
# 
#    
# 
#    C. Adolph et al, arXiv:1305.7317 [hep-ex]
# 
#************************************************************************
# 
# h- multiplicities from COMPASS
# 
# Target: Deuteron (Li6)
# 
#
#  i          mult              stat (+/-)              syst (+/-)              Q2      x         z           Php
  52  1.997038E-01  2.042425E-02  9.985189E-03  1.110000E+00  5.200000E-03  2.250000E-01  1.134681E+00
  53  1.210831E+00  1.788854E-02  6.054154E-02  1.110000E+00  5.200000E-03  2.750000E-01  1.118034E-01
  54  1.749039E+00  2.788548E-02  8.745196E-02  1.110000E+00  5.200000E-03  2.750000E-01  1.936492E-01
  55  2.049000E+00  3.400000E-02  1.024500E-01  1.110000E+00  5.200000E-03  2.750000E-01  2.500000E-01
  56  2.374123E+00  4.022934E-02  1.187061E-01  1.110000E+00  5.200000E-03  2.750000E-01  2.958040E-01
  57  2.382754E+00  4.226168E-02  1.191377E-01  1.110000E+00  5.200000E-03  2.750000E-01  3.354102E-01
  58  2.264165E+00  4.301395E-02  1.132083E-01  1.110000E+00  5.200000E-03  2.750000E-01  3.708099E-01
  59  2.241308E+00  4.434242E-02  1.120654E-01  1.110000E+00  5.200000E-03  2.750000E-01  4.031129E-01
  60  2.116566E+00  4.416730E-02  1.058283E-01  1.110000E+00  5.200000E-03  2.750000E-01  4.330127E-01
  61  2.006173E+00  4.425381E-02  1.003086E-01  1.110000E+00  5.200000E-03  2.750000E-01  4.609772E-01
  62  1.882106E+00  4.386057E-02  9.410530E-02  1.110000E+00  5.200000E-03  2.750000E-01  4.873397E-01
  63  1.740957E+00  4.303719E-02  8.704785E-02  1.110000E+00  5.200000E-03  2.750000E-01  5.123475E-01
  64  1.786586E+00  4.503998E-02  8.932930E-02  1.110000E+00  5.200000E-03  2.750000E-01  5.361903E-01
  65  1.587608E+00  4.248529E-02  7.938041E-02  1.110000E+00  5.200000E-03  2.750000E-01  5.590170E-01
  66  1.490711E+00  4.182822E-02  7.453556E-02  1.110000E+00  5.200000E-03  2.750000E-01  5.809475E-01
  67  1.419704E+00  4.214558E-02  7.098520E-02  1.110000E+00  5.200000E-03  2.750000E-01  6.020797E-01
  68  1.305994E+00  4.108467E-02  6.529972E-02  1.110000E+00  5.200000E-03  2.750000E-01  6.224950E-01
  69  1.233142E+00  3.982022E-02  6.165712E-02  1.110000E+00  5.200000E-03  2.750000E-01  6.422616E-01
  70  1.137673E+00  3.836339E-02  5.688365E-02  1.110000E+00  5.200000E-03  2.750000E-01  6.614378E-01
  71  1.126202E+00  3.944426E-02  5.631009E-02  1.110000E+00  5.200000E-03  2.750000E-01  6.800735E-01
  72  1.040336E+00  3.770345E-02  5.201679E-02  1.110000E+00  5.200000E-03  2.750000E-01  6.982120E-01
  73  9.950886E-01  3.722633E-02  4.975443E-02  1.110000E+00  5.200000E-03  2.750000E-01  7.158911E-01
  74  9.501545E-01  3.665720E-02  4.750773E-02  1.110000E+00  5.200000E-03  2.750000E-01  7.331439E-01
  75  8.460000E-01  3.450000E-02  4.230000E-02  1.110000E+00  5.200000E-03  2.750000E-01  7.500000E-01
  76  8.155406E-01  3.525833E-02  4.077703E-02  1.110000E+00  5.200000E-03  2.750000E-01  7.664855E-01
  77  7.341011E-01  3.287020E-02  3.670506E-02  1.110000E+00  5.200000E-03  2.750000E-01  7.826238E-01
  78  6.818643E-01  3.193744E-02  3.409322E-02  1.110000E+00  5.200000E-03  2.750000E-01  7.984360E-01
  79  5.860375E-01  2.930188E-02  2.930188E-02  1.110000E+00  5.200000E-03  2.750000E-01  8.139410E-01
  80  6.019674E-01  3.150794E-02  3.009837E-02  1.110000E+00  5.200000E-03  2.750000E-01  8.291562E-01
  81  5.655451E-01  3.038750E-02  2.827725E-02  1.110000E+00  5.200000E-03  2.750000E-01  8.440972E-01
  82  5.358776E-01  2.919846E-02  2.679388E-02  1.110000E+00  5.200000E-03  2.750000E-01  8.587782E-01
  83  5.082097E-01  2.968922E-02  2.541048E-02  1.110000E+00  5.200000E-03  2.750000E-01  8.732125E-01
  84  5.466458E-01  3.017201E-02  2.733229E-02  1.110000E+00  5.200000E-03  2.750000E-01  8.874120E-01
  85  4.813411E-01  2.884441E-02  2.406705E-02  1.110000E+00  5.200000E-03  2.750000E-01  9.013878E-01
  86  3.971752E-01  2.562421E-02  1.985876E-02  1.110000E+00  5.200000E-03  2.750000E-01  9.151503E-01
  87  4.439228E-01  2.786126E-02  2.219614E-02  1.110000E+00  5.200000E-03  2.750000E-01  9.287088E-01
  88  3.862496E-01  2.637802E-02  1.931248E-02  1.110000E+00  5.200000E-03  2.750000E-01  9.420722E-01
  89  3.209635E-01  2.483647E-02  1.604818E-02  1.110000E+00  5.200000E-03  2.750000E-01  9.552487E-01
  90  3.427590E-01  2.517439E-02  1.713795E-02  1.110000E+00  5.200000E-03  2.750000E-01  9.682458E-01
  91  3.316019E-01  2.550784E-02  1.658010E-02  1.110000E+00  5.200000E-03  2.750000E-01  9.810708E-01
  92  2.981191E-01  2.384953E-02  1.490596E-02  1.110000E+00  5.200000E-03  2.750000E-01  9.937303E-01
  93  3.199813E-01  2.414953E-02  1.599907E-02  1.110000E+00  5.200000E-03  2.750000E-01  1.006231E+00
  94  2.790902E-01  2.240870E-02  1.395451E-02  1.110000E+00  5.200000E-03  2.750000E-01  1.018577E+00
  95  2.597557E-01  2.267708E-02  1.298778E-02  1.110000E+00  5.200000E-03  2.750000E-01  1.030776E+00
  96  2.419372E-01  2.085665E-02  1.209686E-02  1.110000E+00  5.200000E-03  2.750000E-01  1.042833E+00
  97  2.489213E-01  2.109502E-02  1.244606E-02  1.110000E+00  5.200000E-03  2.750000E-01  1.054751E+00
  98  2.026419E-01  1.919766E-02  1.013210E-02  1.110000E+00  5.200000E-03  2.750000E-01  1.066536E+00
  99  2.091694E-01  1.940747E-02  1.045847E-02  1.110000E+00  5.200000E-03  2.750000E-01  1.078193E+00
 100  1.983299E-01  1.961505E-02  9.916495E-03  1.110000E+00  5.200000E-03  2.750000E-01  1.089725E+00
 101  2.400476E-01  2.202272E-02  1.200238E-02  1.110000E+00  5.200000E-03  2.750000E-01  1.101136E+00
 102  2.091368E-01  2.002374E-02  1.045684E-02  1.110000E+00  5.200000E-03  2.750000E-01  1.112430E+00
 103  1.669685E-01  1.842721E-02  8.348424E-03  1.110000E+00  5.200000E-03  2.750000E-01  1.123610E+00
 104  1.838183E-01  1.928957E-02  9.190913E-03  1.110000E+00  5.200000E-03  2.750000E-01  1.134681E+00
 105  8.573085E-01  1.520526E-02  4.286542E-02  1.110000E+00  5.200000E-03  3.250000E-01  1.118034E-01
 106  1.204885E+00  2.323790E-02  6.024426E-02  1.110000E+00  5.200000E-03  3.250000E-01  1.936492E-01
 107  1.373500E+00  2.800000E-02  6.867500E-02  1.110000E+00  5.200000E-03  3.250000E-01  2.500000E-01
 108  1.566578E+00  3.253844E-02  7.832890E-02  1.110000E+00  5.200000E-03  3.250000E-01  2.958040E-01
 109  1.670343E+00  3.555348E-02  8.351714E-02  1.110000E+00  5.200000E-03  3.250000E-01  3.354102E-01
 110  1.609315E+00  3.708099E-02  8.046575E-02  1.110000E+00  5.200000E-03  3.250000E-01  3.708099E-01
 111  1.506030E+00  3.708639E-02  7.530149E-02  1.110000E+00  5.200000E-03  3.250000E-01  4.031129E-01
 112  1.492162E+00  3.810512E-02  7.460809E-02  1.110000E+00  5.200000E-03  3.250000E-01  4.330127E-01
 113  1.363571E+00  3.687818E-02  6.817853E-02  1.110000E+00  5.200000E-03  3.250000E-01  4.609772E-01
 114  1.300222E+00  3.703782E-02  6.501112E-02  1.110000E+00  5.200000E-03  3.250000E-01  4.873397E-01
 115  1.285992E+00  3.791372E-02  6.429962E-02  1.110000E+00  5.200000E-03  3.250000E-01  5.123475E-01
 116  1.230020E+00  3.753332E-02  6.150102E-02  1.110000E+00  5.200000E-03  3.250000E-01  5.361903E-01
 117  1.168346E+00  3.801316E-02  5.841728E-02  1.110000E+00  5.200000E-03  3.250000E-01  5.590170E-01
 118  1.110772E+00  3.718064E-02  5.553858E-02  1.110000E+00  5.200000E-03  3.250000E-01  5.809475E-01
 119  1.051231E+00  3.612478E-02  5.256156E-02  1.110000E+00  5.200000E-03  3.250000E-01  6.020797E-01
 120  9.312525E-01  3.485972E-02  4.656262E-02  1.110000E+00  5.200000E-03  3.250000E-01  6.224950E-01
 121  8.850365E-01  3.468213E-02  4.425183E-02  1.110000E+00  5.200000E-03  3.250000E-01  6.422616E-01
 122  8.466404E-01  3.439477E-02  4.233202E-02  1.110000E+00  5.200000E-03  3.250000E-01  6.614378E-01
 123  7.630425E-01  3.264353E-02  3.815212E-02  1.110000E+00  5.200000E-03  3.250000E-01  6.800735E-01
 124  7.903760E-01  3.351418E-02  3.951880E-02  1.110000E+00  5.200000E-03  3.250000E-01  6.982120E-01
 125  7.244817E-01  3.293099E-02  3.622409E-02  1.110000E+00  5.200000E-03  3.250000E-01  7.158911E-01
 126  6.583632E-01  3.079204E-02  3.291816E-02  1.110000E+00  5.200000E-03  3.250000E-01  7.331439E-01
 127  5.700000E-01  3.000000E-02  2.850000E-02  1.110000E+00  5.200000E-03  3.250000E-01  7.500000E-01
 128  5.656663E-01  2.912645E-02  2.828331E-02  1.110000E+00  5.200000E-03  3.250000E-01  7.664855E-01
 129  6.307948E-01  3.130495E-02  3.153974E-02  1.110000E+00  5.200000E-03  3.250000E-01  7.826238E-01
 130  5.269677E-01  2.874369E-02  2.634839E-02  1.110000E+00  5.200000E-03  3.250000E-01  7.984360E-01
 131  4.997598E-01  2.767400E-02  2.498799E-02  1.110000E+00  5.200000E-03  3.250000E-01  8.139410E-01
 132  4.825689E-01  2.819131E-02  2.412845E-02  1.110000E+00  5.200000E-03  3.250000E-01  8.291562E-01
 133  4.845118E-01  2.869930E-02  2.422559E-02  1.110000E+00  5.200000E-03  3.250000E-01  8.440972E-01
 134  4.087784E-01  2.576335E-02  2.043892E-02  1.110000E+00  5.200000E-03  3.250000E-01  8.587782E-01
 135  4.610562E-01  2.794280E-02  2.305281E-02  1.110000E+00  5.200000E-03  3.250000E-01  8.732125E-01
 136  4.011102E-01  2.662236E-02  2.005551E-02  1.110000E+00  5.200000E-03  3.250000E-01  8.874120E-01
 137  3.659635E-01  2.523886E-02  1.829817E-02  1.110000E+00  5.200000E-03  3.250000E-01  9.013878E-01
