*reference: ARXIV:2017.07374 : 2017 \
*reference: CERN-EP-2017-253  \
*doi: \
*status: \
*experiment: CERN-NA-058 \
*detector: COMPASS \
*inspireId: \
*cdsId:  \
*durhamId: \
*title: Transverse-momentum-dependent Multiplicities of Charged Hadrons in Muon-Deuteron Deep Inelastic Scattering \
*comment:Multiplicities of charged unidentified hadrons produced in semi-inclusive deep-inelastic scattering were measured in bins of the Bjorken scaling variable $x$, the photon virtuality, the relative hadron energy $z$ and the hadron transverse momentum $P_\{hT\}$. Data were collected by the COMPASS Collaboration using a $160$ GeV muon beam and an isoscalar target ($^\{6\}$LiD). The following kinematic domain is covered by the data: photon virtuality $Q^\{2\}$ $>$ $1$ (GeV/$c$)$^\{2\}$, invariant mass of the hadronic system $W$ $>$ $5$ GeV/$c^\{2\}$, Bjorken scaling variable in the range $0.003 < x <0.4$, fraction of the virtual photon energy carried by the hadron in the range $0.2 < z < 0.8$, square of the hadron transverse momentum with respect to the virtual photon direction in the range $0.02$ (GeV/$c$)$^2$ $< P_\{hT\}^\{2\}$ $<$ $3$ (GeV/$c$)$^\{2\}$. \
*dataset: \
*reackey: $mu^\{+\}$ d --> $mu'^\{+\}$ $h^\{+\}$ X \
*obskey: MULT \
*qual: PLAB IN GEV : 160.0 \
*qual: RE : $mu^\{+\}$ d --> $mu'^\{+\}$ h$^\{+\}$ X \


#  i      mult       stat (+/-)    syst (+/-)        Q2            x             z            Php
  42  8.011246e-01  7.025325e-02  1.313430e-01  2.210000e+01  2.909000e-01  2.447000e-01  8.484692e-01
  43  5.374082e-01  4.550344e-02  9.442414e-02  2.210000e+01  2.909000e-01  2.447000e-01  8.992775e-01
  44  3.919403e-01  3.886531e-02  7.386343e-02  2.210000e+01  2.909000e-01  2.447000e-01  9.667988e-01
  45  2.638357e-01  3.605209e-02  5.797012e-02  2.210000e+01  2.909000e-01  2.447000e-01  1.024207e+00
  46  1.828513e-01  3.275273e-02  4.663468e-02  2.210000e+01  2.909000e-01  2.447000e-01  1.084528e+00
  47  1.418815e-01  2.281052e-02  3.467200e-02  2.210000e+01  2.909000e-01  2.447000e-01  1.140526e+00
  48  7.523536e-02  1.712087e-02  2.122023e-02  2.210000e+01  2.909000e-01  2.447000e-01  1.205695e+00
  49  5.203241e-02  1.432776e-02  1.633868e-02  2.210000e+01  2.909000e-01  2.447000e-01  1.256821e+00
  50  6.142342e-02  1.595413e-02  1.994267e-02  2.210000e+01  2.909000e-01  2.447000e-01  1.329511e+00
  51  4.401257e-02  1.058530e-02  1.615651e-02  2.210000e+01  2.909000e-01  2.447000e-01  1.392803e+00
  52  3.164524e-02  7.097997e-03  1.123850e-02  2.210000e+01  2.909000e-01  2.447000e-01  1.478749e+00
  53  1.356485e-02  5.047385e-03  5.993770e-03  2.210000e+01  2.909000e-01  2.447000e-01  1.577308e+00
  54  5.048029e-03  3.028818e-03  2.692282e-03  2.210000e+01  2.909000e-01  2.447000e-01  1.682676e+00
  55  3.127914e+00  1.277665e-01  2.624814e-01  8.300000e+00  4.550000e-02  2.439000e-01  2.994996e-01
  56  3.599819e+00  1.513682e-01  3.047255e-01  8.300000e+00  4.550000e-02  2.439000e-01  3.315117e-01
  57  3.265451e+00  1.402019e-01  2.816273e-01  8.300000e+00  4.550000e-02  2.439000e-01  3.598611e-01
  58  3.245406e+00  1.246840e-01  2.768395e-01  8.300000e+00  4.550000e-02  2.439000e-01  3.935734e-01
  59  3.236904e+00  1.376715e-01  2.808156e-01  8.300000e+00  4.550000e-02  2.439000e-01  4.275512e-01
  60  2.863489e+00  1.173554e-01  2.483653e-01  8.300000e+00  4.550000e-02  2.439000e-01  4.613025e-01
  61  2.808950e+00  1.108112e-01  2.446041e-01  8.300000e+00  4.550000e-02  2.439000e-01  4.995998e-01
  62  2.466387e+00  1.215479e-01  2.237805e-01  8.300000e+00  4.550000e-02  2.439000e-01  5.335729e-01
  63  2.362628e+00  9.677110e-02  2.105256e-01  8.300000e+00  4.550000e-02  2.439000e-01  5.699123e-01
  64  2.047085e+00  9.189245e-02  1.912489e-01  8.300000e+00  4.550000e-02  2.439000e-01  6.118006e-01
  65  1.899874e+00  8.827803e-02  1.773407e-01  8.300000e+00  4.550000e-02  2.439000e-01  6.539113e-01
  66  1.484922e+00  7.961935e-02  1.430070e-01  8.300000e+00  4.550000e-02  2.439000e-01  6.996428e-01
  67  1.310441e+00  6.154127e-02  1.266675e-01  8.300000e+00  4.550000e-02  2.439000e-01  7.468601e-01
  68  1.151480e+00  6.014120e-02  1.145242e-01  8.300000e+00  4.550000e-02  2.439000e-01  7.997500e-01
  69  9.041212e-01  5.931442e-02  9.541148e-02  8.300000e+00  4.550000e-02  2.439000e-01  8.473488e-01
  70  6.178589e-01  3.877398e-02  6.600595e-02  8.300000e+00  4.550000e-02  2.439000e-01  9.017206e-01
  71  5.483775e-01  3.765268e-02  6.082356e-02  8.300000e+00  4.550000e-02  2.439000e-01  9.654533e-01
  72  4.094882e-01  3.352415e-02  4.915504e-02  8.300000e+00  4.550000e-02  2.439000e-01  1.028348e+00
  73  3.056978e-01  2.777099e-02  3.905295e-02  8.300000e+00  4.550000e-02  2.439000e-01  1.084804e+00
  74  2.557301e-01  2.673853e-02  3.382310e-02  8.300000e+00  4.550000e-02  2.439000e-01  1.142672e+00
  75  1.882720e-01  2.188091e-02  2.668990e-02  8.300000e+00  4.550000e-02  2.439000e-01  1.202248e+00
  76  1.777485e-01  2.070366e-02  2.600582e-02  8.300000e+00  4.550000e-02  2.439000e-01  1.262418e+00
  77  1.251719e-01  1.731100e-02  1.997423e-02  8.300000e+00  4.550000e-02  2.439000e-01  1.331616e+00
  78  1.305141e-01  1.729033e-02  2.063685e-02  8.300000e+00  4.550000e-02  2.439000e-01  1.394382e+00
