 # Fri Sep 19 16:58:37 2014
 # MMHT 2014 NLO PDF grid for central fit.
 # distance(t),tolerance(T) =    0.0000000000000000        0.0000000000000000     
 # mCharm = 1.40
 # mBottom = 4.75
 # alphaS(1GeV) = 0.45173
 # alphaS(MZ) = 0.11800
 # alphaSorder,alphaSnfmax = 1, 5
 # nExtraFlavours = 0

          xg          xd          xu          xs          xc          xb         xdv         xuv         xsv
  9.9509E+02  3.4080E+01  3.4081E+01  3.3800E+01  3.2770E+01  2.9929E+01  6.0097E-04  1.6063E-03 -8.3593E-04
  1.0595E+03  3.6192E+01  3.6193E+01  3.5912E+01  3.4890E+01  3.2071E+01  6.2170E-04  1.6513E-03 -8.4076E-04
  1.1235E+03  3.8298E+01  3.8299E+01  3.8019E+01  3.7004E+01  3.4205E+01  6.4180E-04  1.6947E-03 -8.4535E-04
  1.1865E+03  4.0381E+01  4.0383E+01  4.0103E+01  3.9094E+01  3.6314E+01  6.6119E-04  1.7365E-03 -8.4969E-04
  1.2527E+03  4.2572E+01  4.2574E+01  4.2295E+01  4.1292E+01  3.8531E+01  6.8110E-04  1.7793E-03 -8.5407E-04
  1.3204E+03  4.4825E+01  4.4827E+01  4.4549E+01  4.3551E+01  4.0810E+01  7.0110E-04  1.8222E-03 -8.5838E-04
  1.3875E+03  4.7065E+01  4.7066E+01  4.6790E+01  4.5798E+01  4.3074E+01  7.2053E-04  1.8637E-03 -8.6250E-04
  1.4534E+03  4.9272E+01  4.9273E+01  4.8997E+01  4.8011E+01  4.5303E+01  7.3928E-04  1.9037E-03 -8.6641E-04
  1.5221E+03  5.1582E+01  5.1584E+01  5.1308E+01  5.0327E+01  4.7636E+01  7.5854E-04  1.9446E-03 -8.7035E-04
  1.5925E+03  5.3960E+01  5.3961E+01  5.3686E+01  5.2710E+01  5.0035E+01  7.7793E-04  1.9857E-03 -8.7426E-04
  1.6617E+03  5.6304E+01  5.6305E+01  5.6031E+01  5.5060E+01  5.2401E+01  7.9674E-04  2.0255E-03 -8.7799E-04
  1.7297E+03  5.8617E+01  5.8618E+01  5.8344E+01  5.7377E+01  5.4733E+01  8.1493E-04  2.0639E-03 -8.8155E-04
  1.8003E+03  6.1028E+01  6.1029E+01  6.0757E+01  5.9794E+01  5.7165E+01  8.3360E-04  2.1032E-03 -8.8515E-04
