x                        Q2                 y       z                  PhT^2              Mult        
0.2909 [0.2100-0.4000)   22.1 [16.0-81.0)   0.261   0.20 [0.20-0.30)   0.43 [0.40-0.46)   1.3860 +- 0.0754 +- 0.1284
0.2909 [0.2100-0.4000)   22.1 [16.0-81.0)   0.261   0.20 [0.20-0.30)   0.49 [0.46-0.52)   1.1086 +- 0.0665 +- 0.1358
0.2909 [0.2100-0.4000)   22.1 [16.0-81.0)   0.261   0.20 [0.20-0.30)   0.56 [0.52-0.60)   0.8053 +- 0.0505 +- 0.1418
0.2909 [0.2100-0.4000)   22.1 [16.0-81.0)   0.261   0.20 [0.20-0.30)   0.64 [0.60-0.68)   0.6177 +- 0.0455 +- 0.1558
0.2909 [0.2100-0.4000)   22.1 [16.0-81.0)   0.261   0.20 [0.20-0.30)   0.72 [0.68-0.76)   0.4721 +- 0.0414 +- 0.1639
0.2909 [0.2100-0.4000)   22.1 [16.0-81.0)   0.261   0.20 [0.20-0.30)   0.81 [0.76-0.87)   0.2988 +- 0.0253 +- 0.1757
0.2909 [0.2100-0.4000)   22.1 [16.0-81.0)   0.261   0.20 [0.20-0.30)   0.94 [0.87-1.00)   0.2027 +- 0.0201 +- 0.1887
0.2909 [0.2100-0.4000)   22.1 [16.0-81.0)   0.261   0.20 [0.20-0.30)   1.06 [1.00-1.12)   0.1288 +- 0.0176 +- 0.2195
0.2909 [0.2100-0.4000)   22.1 [16.0-81.0)   0.261   0.20 [0.20-0.30)   1.18 [1.12-1.24)   0.0843 +- 0.0151 +- 0.2550
0.2909 [0.2100-0.4000)   22.1 [16.0-81.0)   0.261   0.20 [0.20-0.30)   1.31 [1.24-1.38)   0.0622 +- 0.0100 +- 0.2445
0.2909 [0.2100-0.4000)   22.1 [16.0-81.0)   0.261   0.20 [0.20-0.30)   1.45 [1.38-1.52)   0.0312 +- 0.0071 +- 0.2820
0.2909 [0.2100-0.4000)   22.1 [16.0-81.0)   0.261   0.20 [0.20-0.30)   1.60 [1.52-1.68)   0.0207 +- 0.0057 +- 0.3155
0.2909 [0.2100-0.4000)   22.1 [16.0-81.0)   0.261   0.20 [0.20-0.30)   1.77 [1.68-1.85)   0.0231 +- 0.0060 +- 0.3248
0.2909 [0.2100-0.4000)   22.1 [16.0-81.0)   0.261   0.20 [0.20-0.30)   1.95 [1.85-2.05)   0.0158 +- 0.0038 +- 0.3695
0.2909 [0.2100-0.4000)   22.1 [16.0-81.0)   0.261   0.20 [0.20-0.30)   2.20 [2.05-2.35)   0.0107 +- 0.0024 +- 0.3550
