x                        Q2                 y       z                  PhT^2              Mult         
0.0102 [0.0080-0.0130)    1.3 [1.0-1.7)   0.442   0.20 [0.20-0.30)   0.21 [0.20-0.23)   3.3365 +- 0.0495 +- 0.0751
0.0102 [0.0080-0.0130)    1.3 [1.0-1.7)   0.442   0.20 [0.20-0.30)   0.25 [0.23-0.27)   2.7971 +- 0.0414 +- 0.0755
0.0102 [0.0080-0.0130)    1.3 [1.0-1.7)   0.442   0.20 [0.20-0.30)   0.29 [0.27-0.30)   2.4602 +- 0.0452 +- 0.0763
0.0102 [0.0080-0.0130)    1.3 [1.0-1.7)   0.442   0.20 [0.20-0.30)   0.32 [0.30-0.35)   1.9707 +- 0.0307 +- 0.0765
0.0102 [0.0080-0.0130)    1.3 [1.0-1.7)   0.442   0.20 [0.20-0.30)   0.38 [0.35-0.40)   1.6169 +- 0.0280 +- 0.0774
0.0102 [0.0080-0.0130)    1.3 [1.0-1.7)   0.442   0.20 [0.20-0.30)   0.43 [0.40-0.46)   1.2495 +- 0.0219 +- 0.0781
0.0102 [0.0080-0.0130)    1.3 [1.0-1.7)   0.442   0.20 [0.20-0.30)   0.49 [0.46-0.52)   0.9917 +- 0.0193 +- 0.0795
0.0102 [0.0080-0.0130)    1.3 [1.0-1.7)   0.442   0.20 [0.20-0.30)   0.56 [0.52-0.60)   0.7531 +- 0.0146 +- 0.0802
0.0102 [0.0080-0.0130)    1.3 [1.0-1.7)   0.442   0.20 [0.20-0.30)   0.64 [0.60-0.68)   0.5738 +- 0.0126 +- 0.0813
0.0102 [0.0080-0.0130)    1.3 [1.0-1.7)   0.442   0.20 [0.20-0.30)   0.72 [0.68-0.76)   0.4328 +- 0.0110 +- 0.0832
0.0102 [0.0080-0.0130)    1.3 [1.0-1.7)   0.442   0.20 [0.20-0.30)   0.81 [0.76-0.87)   0.3275 +- 0.0081 +- 0.0846
0.0102 [0.0080-0.0130)    1.3 [1.0-1.7)   0.442   0.20 [0.20-0.30)   0.94 [0.87-1.00)   0.2294 +- 0.0061 +- 0.0862
0.0102 [0.0080-0.0130)    1.3 [1.0-1.7)   0.442   0.20 [0.20-0.30)   1.06 [1.00-1.12)   0.1627 +- 0.0054 +- 0.0894
0.0102 [0.0080-0.0130)    1.3 [1.0-1.7)   0.442   0.20 [0.20-0.30)   1.18 [1.12-1.24)   0.1218 +- 0.0046 +- 0.0917
0.0102 [0.0080-0.0130)    1.3 [1.0-1.7)   0.442   0.20 [0.20-0.30)   1.31 [1.24-1.38)   0.0900 +- 0.0038 +- 0.0943
0.0102 [0.0080-0.0130)    1.3 [1.0-1.7)   0.442   0.20 [0.20-0.30)   1.45 [1.38-1.52)   0.0716 +- 0.0033 +- 0.0982
0.0102 [0.0080-0.0130)    1.3 [1.0-1.7)   0.442   0.20 [0.20-0.30)   1.60 [1.52-1.68)   0.0511 +- 0.0026 +- 0.1025
0.0102 [0.0080-0.0130)    1.3 [1.0-1.7)   0.442   0.20 [0.20-0.30)   1.77 [1.68-1.85)   0.0357 +- 0.0021 +- 0.1046
0.0102 [0.0080-0.0130)    1.3 [1.0-1.7)   0.442   0.20 [0.20-0.30)   1.95 [1.85-2.05)   0.0257 +- 0.0016 +- 0.1091
0.0102 [0.0080-0.0130)    1.3 [1.0-1.7)   0.442   0.20 [0.20-0.30)   2.20 [2.05-2.35)   0.0176 +- 0.0011 +- 0.1140
0.0102 [0.0080-0.0130)    1.3 [1.0-1.7)   0.442   0.20 [0.20-0.30)   2.50 [2.35-2.65)   0.0121 +- 0.0009 +- 0.1220
0.0102 [0.0080-0.0130)    1.3 [1.0-1.7)   0.442   0.20 [0.20-0.30)   2.83 [2.65-3.00)   0.0081 +- 0.0007 +- 0.1299
0.0162 [0.0130-0.0200)    1.3 [1.0-1.7)   0.273   0.20 [0.20-0.30)   0.13 [0.12-0.14)   5.4340 +- 0.0912 +- 0.0779
0.0162 [0.0130-0.0200)    1.3 [1.0-1.7)   0.273   0.20 [0.20-0.30)   0.16 [0.14-0.17)   4.6473 +- 0.0668 +- 0.0782
0.0162 [0.0130-0.0200)    1.3 [1.0-1.7)   0.273   0.20 [0.20-0.30)   0.18 [0.17-0.20)   4.0309 +- 0.0679 +- 0.0786
0.0162 [0.0130-0.0200)    1.3 [1.0-1.7)   0.273   0.20 [0.20-0.30)   0.21 [0.20-0.23)   3.4721 +- 0.0542 +- 0.0786
0.0162 [0.0130-0.0200)    1.3 [1.0-1.7)   0.273   0.20 [0.20-0.30)   0.25 [0.23-0.27)   2.9529 +- 0.0458 +- 0.0790
0.0162 [0.0130-0.0200)    1.3 [1.0-1.7)   0.273   0.20 [0.20-0.30)   0.29 [0.27-0.30)   2.4847 +- 0.0483 +- 0.0797
0.0162 [0.0130-0.0200)    1.3 [1.0-1.7)   0.273   0.20 [0.20-0.30)   0.32 [0.30-0.35)   2.0945 +- 0.0340 +- 0.0800
0.0162 [0.0130-0.0200)    1.3 [1.0-1.7)   0.273   0.20 [0.20-0.30)   0.38 [0.35-0.40)   1.5942 +- 0.0293 +- 0.0810
0.0162 [0.0130-0.0200)    1.3 [1.0-1.7)   0.273   0.20 [0.20-0.30)   0.43 [0.40-0.46)   1.2856 +- 0.0240 +- 0.0814
0.0162 [0.0130-0.0200)    1.3 [1.0-1.7)   0.273   0.20 [0.20-0.30)   0.49 [0.46-0.52)   1.0071 +- 0.0212 +- 0.0827
0.0162 [0.0130-0.0200)    1.3 [1.0-1.7)   0.273   0.20 [0.20-0.30)   0.56 [0.52-0.60)   0.7411 +- 0.0155 +- 0.0837
0.0162 [0.0130-0.0200)    1.3 [1.0-1.7)   0.273   0.20 [0.20-0.30)   0.64 [0.60-0.68)   0.5754 +- 0.0136 +- 0.0855
0.0162 [0.0130-0.0200)    1.3 [1.0-1.7)   0.273   0.20 [0.20-0.30)   0.72 [0.68-0.76)   0.4333 +- 0.0118 +- 0.0866
0.0162 [0.0130-0.0200)    1.3 [1.0-1.7)   0.273   0.20 [0.20-0.30)   0.81 [0.76-0.87)   0.3135 +- 0.0084 +- 0.0881
0.0162 [0.0130-0.0200)    1.3 [1.0-1.7)   0.273   0.20 [0.20-0.30)   0.94 [0.87-1.00)   0.2125 +- 0.0064 +- 0.0903
0.0162 [0.0130-0.0200)    1.3 [1.0-1.7)   0.273   0.20 [0.20-0.30)   1.06 [1.00-1.12)   0.1533 +- 0.0057 +- 0.0937
0.0162 [0.0130-0.0200)    1.3 [1.0-1.7)   0.273   0.20 [0.20-0.30)   1.18 [1.12-1.24)   0.1102 +- 0.0048 +- 0.0964
0.0162 [0.0130-0.0200)    1.3 [1.0-1.7)   0.273   0.20 [0.20-0.30)   1.31 [1.24-1.38)   0.0760 +- 0.0037 +- 0.0997
0.0162 [0.0130-0.0200)    1.3 [1.0-1.7)   0.273   0.20 [0.20-0.30)   1.45 [1.38-1.52)   0.0541 +- 0.0031 +- 0.1040
0.0162 [0.0130-0.0200)    1.3 [1.0-1.7)   0.273   0.20 [0.20-0.30)   1.60 [1.52-1.68)   0.0401 +- 0.0024 +- 0.1071
0.0162 [0.0130-0.0200)    1.3 [1.0-1.7)   0.273   0.20 [0.20-0.30)   1.77 [1.68-1.85)   0.0322 +- 0.0022 +- 0.1120
0.0162 [0.0130-0.0200)    1.3 [1.0-1.7)   0.273   0.20 [0.20-0.30)   1.95 [1.85-2.05)   0.0219 +- 0.0016 +- 0.1161
0.0162 [0.0130-0.0200)    1.3 [1.0-1.7)   0.273   0.20 [0.20-0.30)   2.20 [2.05-2.35)   0.0147 +- 0.0011 +- 0.1203
0.0162 [0.0130-0.0200)    1.3 [1.0-1.7)   0.273   0.20 [0.20-0.30)   2.50 [2.35-2.65)   0.0091 +- 0.0009 +- 0.1345
0.0162 [0.0130-0.0200)    1.3 [1.0-1.7)   0.273   0.20 [0.20-0.30)   2.83 [2.65-3.00)   0.0059 +- 0.0007 +- 0.1421
0.0255 [0.0200-0.0320)    1.3 [1.0-1.7)   0.173   0.20 [0.20-0.30)   0.13 [0.12-0.14)   5.6421 +- 0.0886 +- 0.0748
0.0255 [0.0200-0.0320)    1.3 [1.0-1.7)   0.173   0.20 [0.20-0.30)   0.16 [0.14-0.17)   4.9229 +- 0.0659 +- 0.0747
0.0255 [0.0200-0.0320)    1.3 [1.0-1.7)   0.173   0.20 [0.20-0.30)   0.18 [0.17-0.20)   4.2547 +- 0.0657 +- 0.0749
0.0255 [0.0200-0.0320)    1.3 [1.0-1.7)   0.173   0.20 [0.20-0.30)   0.21 [0.20-0.23)   3.5802 +- 0.0516 +- 0.0752
0.0255 [0.0200-0.0320)    1.3 [1.0-1.7)   0.173   0.20 [0.20-0.30)   0.25 [0.23-0.27)   3.0903 +- 0.0442 +- 0.0756
0.0255 [0.0200-0.0320)    1.3 [1.0-1.7)   0.173   0.20 [0.20-0.30)   0.29 [0.27-0.30)   2.5589 +- 0.0460 +- 0.0761
0.0255 [0.0200-0.0320)    1.3 [1.0-1.7)   0.173   0.20 [0.20-0.30)   0.32 [0.30-0.35)   2.1231 +- 0.0325 +- 0.0764
0.0255 [0.0200-0.0320)    1.3 [1.0-1.7)   0.173   0.20 [0.20-0.30)   0.38 [0.35-0.40)   1.6476 +- 0.0285 +- 0.0773
0.0255 [0.0200-0.0320)    1.3 [1.0-1.7)   0.173   0.20 [0.20-0.30)   0.43 [0.40-0.46)   1.3158 +- 0.0235 +- 0.0778
0.0255 [0.0200-0.0320)    1.3 [1.0-1.7)   0.173   0.20 [0.20-0.30)   0.49 [0.46-0.52)   0.9744 +- 0.0201 +- 0.0790
0.0255 [0.0200-0.0320)    1.3 [1.0-1.7)   0.173   0.20 [0.20-0.30)   0.56 [0.52-0.60)   0.7238 +- 0.0152 +- 0.0800
0.0255 [0.0200-0.0320)    1.3 [1.0-1.7)   0.173   0.20 [0.20-0.30)   0.64 [0.60-0.68)   0.5382 +- 0.0127 +- 0.0811
0.0255 [0.0200-0.0320)    1.3 [1.0-1.7)   0.173   0.20 [0.20-0.30)   0.72 [0.68-0.76)   0.3791 +- 0.0107 +- 0.0832
0.0255 [0.0200-0.0320)    1.3 [1.0-1.7)   0.173   0.20 [0.20-0.30)   0.81 [0.76-0.87)   0.2806 +- 0.0081 +- 0.0843
0.0255 [0.0200-0.0320)    1.3 [1.0-1.7)   0.173   0.20 [0.20-0.30)   0.94 [0.87-1.00)   0.1912 +- 0.0060 +- 0.0863
0.0255 [0.0200-0.0320)    1.3 [1.0-1.7)   0.173   0.20 [0.20-0.30)   1.06 [1.00-1.12)   0.1301 +- 0.0052 +- 0.0892
0.0255 [0.0200-0.0320)    1.3 [1.0-1.7)   0.173   0.20 [0.20-0.30)   1.18 [1.12-1.24)   0.0945 +- 0.0047 +- 0.0932
0.0255 [0.0200-0.0320)    1.3 [1.0-1.7)   0.173   0.20 [0.20-0.30)   1.31 [1.24-1.38)   0.0645 +- 0.0036 +- 0.0965
0.0255 [0.0200-0.0320)    1.3 [1.0-1.7)   0.173   0.20 [0.20-0.30)   1.45 [1.38-1.52)   0.0447 +- 0.0031 +- 0.1022
0.0255 [0.0200-0.0320)    1.3 [1.0-1.7)   0.173   0.20 [0.20-0.30)   1.60 [1.52-1.68)   0.0302 +- 0.0024 +- 0.1071
0.0255 [0.0200-0.0320)    1.3 [1.0-1.7)   0.173   0.20 [0.20-0.30)   1.77 [1.68-1.85)   0.0232 +- 0.0021 +- 0.1137
0.0255 [0.0200-0.0320)    1.3 [1.0-1.7)   0.173   0.20 [0.20-0.30)   1.95 [1.85-2.05)   0.0128 +- 0.0013 +- 0.1216
0.0255 [0.0200-0.0320)    1.3 [1.0-1.7)   0.173   0.20 [0.20-0.30)   2.20 [2.05-2.35)   0.0094 +- 0.0010 +- 0.1273
0.0255 [0.0200-0.0320)    1.3 [1.0-1.7)   0.173   0.20 [0.20-0.30)   2.50 [2.35-2.65)   0.0051 +- 0.0009 +- 0.1581
0.0255 [0.0200-0.0320)    1.3 [1.0-1.7)   0.173   0.20 [0.20-0.30)   2.83 [2.65-3.00)   0.0029 +- 0.0006 +- 0.1800
0.1570 [0.1000-0.2100)   20.0 [16.0-81.0)   0.439   0.30 [0.30-0.40)   0.05 [0.04-0.06)   2.9530 +- 0.2016 +- 0.1035
0.1570 [0.1000-0.2100)   20.0 [16.0-81.0)   0.439   0.30 [0.30-0.40)   0.07 [0.06-0.08)   2.4666 +- 0.1825 +- 0.1045
0.1570 [0.1000-0.2100)   20.0 [16.0-81.0)   0.439   0.30 [0.30-0.40)   0.09 [0.08-0.10)   3.0757 +- 0.2175 +- 0.1055
0.1570 [0.1000-0.2100)   20.0 [16.0-81.0)   0.439   0.30 [0.30-0.40)   0.11 [0.10-0.12)   2.3429 +- 0.1737 +- 0.1061
0.1570 [0.1000-0.2100)   20.0 [16.0-81.0)   0.439   0.30 [0.30-0.40)   0.13 [0.12-0.14)   2.3451 +- 0.1736 +- 0.1082
0.1570 [0.1000-0.2100)   20.0 [16.0-81.0)   0.439   0.30 [0.30-0.40)   0.16 [0.14-0.17)   2.3009 +- 0.1501 +- 0.1074
0.1570 [0.1000-0.2100)   20.0 [16.0-81.0)   0.439   0.30 [0.30-0.40)   0.18 [0.17-0.20)   2.0068 +- 0.1572 +- 0.1142
0.1570 [0.1000-0.2100)   20.0 [16.0-81.0)   0.439   0.30 [0.30-0.40)   0.21 [0.20-0.23)   2.0109 +- 0.1280 +- 0.1098
0.1570 [0.1000-0.2100)   20.0 [16.0-81.0)   0.439   0.30 [0.30-0.40)   0.25 [0.23-0.27)   1.7871 +- 0.1143 +- 0.1111
0.1570 [0.1000-0.2100)   20.0 [16.0-81.0)   0.439   0.30 [0.30-0.40)   0.29 [0.27-0.30)   1.5649 +- 0.1163 +- 0.1174
0.1570 [0.1000-0.2100)   20.0 [16.0-81.0)   0.439   0.30 [0.30-0.40)   0.32 [0.30-0.35)   1.4338 +- 0.0910 +- 0.1157
0.1570 [0.1000-0.2100)   20.0 [16.0-81.0)   0.439   0.30 [0.30-0.40)   0.38 [0.35-0.40)   1.1248 +- 0.0860 +- 0.1225
0.1570 [0.1000-0.2100)   20.0 [16.0-81.0)   0.439   0.30 [0.30-0.40)   0.43 [0.40-0.46)   1.0592 +- 0.0730 +- 0.1238
0.1570 [0.1000-0.2100)   20.0 [16.0-81.0)   0.439   0.30 [0.30-0.40)   0.49 [0.46-0.52)   0.8163 +- 0.0684 +- 0.1319
0.1570 [0.1000-0.2100)   20.0 [16.0-81.0)   0.439   0.30 [0.30-0.40)   0.56 [0.52-0.60)   0.6143 +- 0.0510 +- 0.1361
0.1570 [0.1000-0.2100)   20.0 [16.0-81.0)   0.439   0.30 [0.30-0.40)   0.64 [0.60-0.68)   0.4740 +- 0.0414 +- 0.1443
0.1570 [0.1000-0.2100)   20.0 [16.0-81.0)   0.439   0.30 [0.30-0.40)   0.72 [0.68-0.76)   0.3924 +- 0.0412 +- 0.1562
0.1570 [0.1000-0.2100)   20.0 [16.0-81.0)   0.439   0.30 [0.30-0.40)   0.81 [0.76-0.87)   0.2880 +- 0.0288 +- 0.1577
0.1570 [0.1000-0.2100)   20.0 [16.0-81.0)   0.439   0.30 [0.30-0.40)   0.94 [0.87-1.00)   0.2597 +- 0.0255 +- 0.1650
0.1570 [0.1000-0.2100)   20.0 [16.0-81.0)   0.439   0.30 [0.30-0.40)   1.06 [1.00-1.12)   0.2026 +- 0.0258 +- 0.1824
0.1570 [0.1000-0.2100)   20.0 [16.0-81.0)   0.439   0.30 [0.30-0.40)   1.18 [1.12-1.24)   0.1232 +- 0.0172 +- 0.1943
0.1570 [0.1000-0.2100)   20.0 [16.0-81.0)   0.439   0.30 [0.30-0.40)   1.31 [1.24-1.38)   0.1057 +- 0.0175 +- 0.2120
0.1570 [0.1000-0.2100)   20.0 [16.0-81.0)   0.439   0.30 [0.30-0.40)   1.45 [1.38-1.52)   0.0656 +- 0.0108 +- 0.2203
0.1570 [0.1000-0.2100)   20.0 [16.0-81.0)   0.439   0.30 [0.30-0.40)   1.60 [1.52-1.68)   0.0495 +- 0.0085 +- 0.2324
0.1570 [0.1000-0.2100)   20.0 [16.0-81.0)   0.439   0.30 [0.30-0.40)   1.77 [1.68-1.85)   0.0333 +- 0.0075 +- 0.2642
0.1570 [0.1000-0.2100)   20.0 [16.0-81.0)   0.439   0.30 [0.30-0.40)   1.95 [1.85-2.05)   0.0319 +- 0.0073 +- 0.2762
0.1570 [0.1000-0.2100)   20.0 [16.0-81.0)   0.439   0.30 [0.30-0.40)   2.20 [2.05-2.35)   0.0220 +- 0.0047 +- 0.3206
0.1570 [0.1000-0.2100)   20.0 [16.0-81.0)   0.439   0.30 [0.30-0.40)   2.50 [2.35-2.65)   0.0132 +- 0.0032 +- 0.3156
0.1570 [0.1000-0.2100)   20.0 [16.0-81.0)   0.439   0.30 [0.30-0.40)   2.83 [2.65-3.00)   0.0098 +- 0.0023 +- 0.3347
0.2909 [0.2100-0.4000)   22.1 [16.0-81.0)   0.261   0.30 [0.30-0.40)   0.03 [0.02-0.04)   4.0281 +- 0.2143 +- 0.0880
0.2909 [0.2100-0.4000)   22.1 [16.0-81.0)   0.261   0.30 [0.30-0.40)   0.05 [0.04-0.06)   3.6777 +- 0.1997 +- 0.0890
0.2909 [0.2100-0.4000)   22.1 [16.0-81.0)   0.261   0.30 [0.30-0.40)   0.07 [0.06-0.08)   3.3300 +- 0.1910 +- 0.0920
0.2909 [0.2100-0.4000)   22.1 [16.0-81.0)   0.261   0.30 [0.30-0.40)   0.09 [0.08-0.10)   3.2627 +- 0.1963 +- 0.0928
0.2909 [0.2100-0.4000)   22.1 [16.0-81.0)   0.261   0.30 [0.30-0.40)   0.11 [0.10-0.12)   3.0033 +- 0.1861 +- 0.0948
0.2909 [0.2100-0.4000)   22.1 [16.0-81.0)   0.261   0.30 [0.30-0.40)   0.13 [0.12-0.14)   2.6642 +- 0.1708 +- 0.0965
0.2909 [0.2100-0.4000)   22.1 [16.0-81.0)   0.261   0.30 [0.30-0.40)   0.16 [0.14-0.17)   2.5983 +- 0.1455 +- 0.0944
0.2909 [0.2100-0.4000)   22.1 [16.0-81.0)   0.261   0.30 [0.30-0.40)   0.18 [0.17-0.20)   2.6257 +- 0.1531 +- 0.0980
0.2909 [0.2100-0.4000)   22.1 [16.0-81.0)   0.261   0.30 [0.30-0.40)   0.21 [0.20-0.23)   2.2560 +- 0.1223 +- 0.0972
0.2909 [0.2100-0.4000)   22.1 [16.0-81.0)   0.261   0.30 [0.30-0.40)   0.25 [0.23-0.27)   1.8479 +- 0.1042 +- 0.0998
0.2909 [0.2100-0.4000)   22.1 [16.0-81.0)   0.261   0.30 [0.30-0.40)   0.29 [0.27-0.30)   1.6318 +- 0.1153 +- 0.1070
0.2909 [0.2100-0.4000)   22.1 [16.0-81.0)   0.261   0.30 [0.30-0.40)   0.32 [0.30-0.35)   1.2321 +- 0.0760 +- 0.1048
0.2909 [0.2100-0.4000)   22.1 [16.0-81.0)   0.261   0.30 [0.30-0.40)   0.38 [0.35-0.40)   1.0994 +- 0.0727 +- 0.1094
0.2909 [0.2100-0.4000)   22.1 [16.0-81.0)   0.261   0.30 [0.30-0.40)   0.43 [0.40-0.46)   0.9617 +- 0.0631 +- 0.1132
0.2909 [0.2100-0.4000)   22.1 [16.0-81.0)   0.261   0.30 [0.30-0.40)   0.49 [0.46-0.52)   0.8049 +- 0.0612 +- 0.1179
0.2909 [0.2100-0.4000)   22.1 [16.0-81.0)   0.261   0.30 [0.30-0.40)   0.56 [0.52-0.60)   0.6262 +- 0.0481 +- 0.1220
0.2909 [0.2100-0.4000)   22.1 [16.0-81.0)   0.261   0.30 [0.30-0.40)   0.64 [0.60-0.68)   0.4172 +- 0.0357 +- 0.1291
0.2909 [0.2100-0.4000)   22.1 [16.0-81.0)   0.261   0.30 [0.30-0.40)   0.72 [0.68-0.76)   0.3374 +- 0.0381 +- 0.1431
0.2909 [0.2100-0.4000)   22.1 [16.0-81.0)   0.261   0.30 [0.30-0.40)   0.81 [0.76-0.87)   0.2834 +- 0.0269 +- 0.1418
0.2909 [0.2100-0.4000)   22.1 [16.0-81.0)   0.261   0.30 [0.30-0.40)   0.94 [0.87-1.00)   0.1669 +- 0.0193 +- 0.1556
0.2909 [0.2100-0.4000)   22.1 [16.0-81.0)   0.261   0.30 [0.30-0.40)   1.06 [1.00-1.12)   0.1051 +- 0.0144 +- 0.1752
0.2909 [0.2100-0.4000)   22.1 [16.0-81.0)   0.261   0.30 [0.30-0.40)   1.18 [1.12-1.24)   0.0905 +- 0.0133 +- 0.1805
0.2909 [0.2100-0.4000)   22.1 [16.0-81.0)   0.261   0.30 [0.30-0.40)   1.31 [1.24-1.38)   0.0599 +- 0.0105 +- 0.2062
0.2909 [0.2100-0.4000)   22.1 [16.0-81.0)   0.261   0.30 [0.30-0.40)   1.45 [1.38-1.52)   0.0600 +- 0.0102 +- 0.2041
0.2909 [0.2100-0.4000)   22.1 [16.0-81.0)   0.261   0.30 [0.30-0.40)   1.60 [1.52-1.68)   0.0254 +- 0.0046 +- 0.2509
0.2909 [0.2100-0.4000)   22.1 [16.0-81.0)   0.261   0.30 [0.30-0.40)   1.77 [1.68-1.85)   0.0211 +- 0.0050 +- 0.2502
0.2909 [0.2100-0.4000)   22.1 [16.0-81.0)   0.261   0.30 [0.30-0.40)   1.95 [1.85-2.05)   0.0165 +- 0.0037 +- 0.2522
0.2909 [0.2100-0.4000)   22.1 [16.0-81.0)   0.261   0.30 [0.30-0.40)   2.20 [2.05-2.35)   0.0091 +- 0.0023 +- 0.2804
0.2909 [0.2100-0.4000)   22.1 [16.0-81.0)   0.261   0.30 [0.30-0.40)   2.50 [2.35-2.65)   0.0074 +- 0.0023 +- 0.3179
0.2909 [0.2100-0.4000)   22.1 [16.0-81.0)   0.261   0.30 [0.30-0.40)   2.83 [2.65-3.00)   0.0050 +- 0.0018 +- 0.3635
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.30 [0.30-0.40)   0.03 [0.02-0.04)   2.7611 +- 0.1525 +- 0.0829
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.30 [0.30-0.40)   0.05 [0.04-0.06)   2.6151 +- 0.1470 +- 0.0840
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.30 [0.30-0.40)   0.07 [0.06-0.08)   2.4604 +- 0.1472 +- 0.0855
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.30 [0.30-0.40)   0.09 [0.08-0.10)   2.2601 +- 0.1374 +- 0.0857
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.30 [0.30-0.40)   0.11 [0.10-0.12)   2.1112 +- 0.1356 +- 0.0873
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.30 [0.30-0.40)   0.13 [0.12-0.14)   1.9499 +- 0.1280 +- 0.0885
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.30 [0.30-0.40)   0.16 [0.14-0.17)   1.9784 +- 0.1136 +- 0.0857
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.30 [0.30-0.40)   0.18 [0.17-0.20)   1.6147 +- 0.1041 +- 0.0890
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.30 [0.30-0.40)   0.21 [0.20-0.23)   1.5933 +- 0.0898 +- 0.0870
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.30 [0.30-0.40)   0.25 [0.23-0.27)   1.4392 +- 0.0800 +- 0.0865
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.30 [0.30-0.40)   0.29 [0.27-0.30)   1.2914 +- 0.0923 +- 0.0933
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.30 [0.30-0.40)   0.32 [0.30-0.35)   1.0533 +- 0.0607 +- 0.0888
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.30 [0.30-0.40)   0.38 [0.35-0.40)   0.9751 +- 0.0617 +- 0.0915
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.30 [0.30-0.40)   0.43 [0.40-0.46)   0.7995 +- 0.0483 +- 0.0922
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.30 [0.30-0.40)   0.49 [0.46-0.52)   0.6259 +- 0.0463 +- 0.0967
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.30 [0.30-0.40)   0.56 [0.52-0.60)   0.5526 +- 0.0383 +- 0.0961
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.30 [0.30-0.40)   0.64 [0.60-0.68)   0.4679 +- 0.0344 +- 0.0990
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.30 [0.30-0.40)   0.72 [0.68-0.76)   0.3299 +- 0.0269 +- 0.1041
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.30 [0.30-0.40)   0.81 [0.76-0.87)   0.2534 +- 0.0199 +- 0.1054
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.30 [0.30-0.40)   0.94 [0.87-1.00)   0.1839 +- 0.0155 +- 0.1091
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.30 [0.30-0.40)   1.06 [1.00-1.12)   0.1835 +- 0.0170 +- 0.1133
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.30 [0.30-0.40)   1.18 [1.12-1.24)   0.1013 +- 0.0123 +- 0.1278
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.30 [0.30-0.40)   1.31 [1.24-1.38)   0.0932 +- 0.0125 +- 0.1355
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.30 [0.30-0.40)   1.45 [1.38-1.52)   0.0650 +- 0.0082 +- 0.1365
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.30 [0.30-0.40)   1.60 [1.52-1.68)   0.0565 +- 0.0075 +- 0.1431
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.30 [0.30-0.40)   1.77 [1.68-1.85)   0.0365 +- 0.0065 +- 0.1650
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.30 [0.30-0.40)   1.95 [1.85-2.05)   0.0299 +- 0.0051 +- 0.1673
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.30 [0.30-0.40)   2.20 [2.05-2.35)   0.0220 +- 0.0033 +- 0.1567
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.30 [0.30-0.40)   2.50 [2.35-2.65)   0.0223 +- 0.0038 +- 0.1718
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.30 [0.30-0.40)   2.83 [2.65-3.00)   0.0091 +- 0.0019 +- 0.1988
0.0771 [0.0550-0.1000)    9.3 [7.0-16.0)   0.414   0.30 [0.30-0.40)   0.05 [0.04-0.06)   2.9657 +- 0.0905 +- 0.0866
0.0771 [0.0550-0.1000)    9.3 [7.0-16.0)   0.414   0.30 [0.30-0.40)   0.07 [0.06-0.08)   2.8426 +- 0.0876 +- 0.0870
0.0771 [0.0550-0.1000)    9.3 [7.0-16.0)   0.414   0.30 [0.30-0.40)   0.09 [0.08-0.10)   2.6759 +- 0.0866 +- 0.0884
0.0771 [0.0550-0.1000)    9.3 [7.0-16.0)   0.414   0.30 [0.30-0.40)   0.11 [0.10-0.12)   2.5307 +- 0.0865 +- 0.0895
0.0771 [0.0550-0.1000)    9.3 [7.0-16.0)   0.414   0.30 [0.30-0.40)   0.13 [0.12-0.14)   2.4356 +- 0.0836 +- 0.0900
